categ_code;Libellé catégorie;Libéllé catégorie n2;Domaine;Autorité compétente 1;Autorité compétente 2;Commentaire;Commentaire OCTO
422;Traitements Spécialisés à Domicile;Autres Etablissements Relevant de la Loi Hospitalière;Sanitaire;ARS;;;
425;Centre d'Accueil Thérapeutique à temps partiel (C.A.T.T.P.);Etablissements Hospitaliers;Sanitaire;ARS;;;
426;Syndicat Inter Hospitalier (S.I.H.);Autres Etablissements Relevant de la Loi Hospitalière;Sanitaire;ARS;;;
427;Service Educatif Auprès des Tribunaux (S.E.A.T.);Etab.et Serv.Sociaux Concourant à la Protection de l'Enfance;Social;PJJ;Message redirection vers le 119 + ARS;;PJJ ? Hors périmètre affectation ? Que fait-on pour la redirection ?
430;Centre Postcure Malades Mentaux;Etablissements Hospitaliers;Sanitaire;ARS;;;
431;Centre Postcure pour Alcooliques;Etablissements Hospitaliers;;ARS;;;Reste à renseigner
433;Etablissement Sanitaire des Prisons;Autres Etablissements de Soins et Prévention;Sanitaire;JUSTICE ;;;que signifie JUSTICE ? Hors périmètre de l'affectation ?
434;Classe Spéciale en Ecole Maternelle;Agrégat de niveau 2 obsolète (4200);;Hors périmètre;;;Reste à renseigner
435;Centre de formation d'aide à domicile;Etablissements de Formation des Personnels Sociaux;Formation ;A voir en atelier ;;;Reste à renseigner
436;Ecoles Formant aux Professions Sanitaires et Sociales;Etablissements de Formation Polyvalente;Formation;DREETS;;SI PARAMED;"""SI PARAMED"" c'est à dire ?"
437;Foyer d'Accueil Médicalisé pour Adultes Handicapés (F.A.M.);Etablissements et Services pour Adultes Handicapés;Médico-social;ARS;;;
438;Centre de Médecine collective;Autres Etablissements de Soins et Prévention;Sanitaire;ARS;;;
439;Centre Santé Polyvalent;Autres Etablissements de Soins et Prévention;;A voir en atelier ;;;Reste à renseigner
440;Service Investigation Orientation Educative (S.I.O.E.);Etab.et Serv.Sociaux Concourant à la Protection de l'Enfance;Social;CD;;ou PJJ;
441;Centre d'Action Educative (C.A.E.);Etab.et Serv.Sociaux Concourant à la Protection de l'Enfance;Social;PJJ;;;Reste à renseigner
442;Centre Provisoire Hébergement (C.P.H.);Autres Etab. Accueil, Hébergement, Réadaptation et Services;Social;DDETS;;;
443;Centre Accueil Demandeurs Asile (C.A.D.A.);Autres Etab. Accueil, Hébergement, Réadaptation et Services;Social;DDETS;;;
444;Centre Crise Accueil Permanent;Etablissements Hospitaliers;Sanitaire;ARS;;;
445;Service d'accompagnement médico-social adultes handicapés;Etablissements et Services pour Adultes Handicapés;Médico-social;ARS;;;
446;Service d'Accompagnement à la Vie Sociale (S.A.V.S.);Etablissements et Services pour Adultes Handicapés;Médico-social;CD;;;
447;Entreprise Intérim Insertion;Autres Etab. Accueil, Hébergement, Réadaptation et Services;;CD;;;Reste à renseigner
448;Etab.Acc.Médicalisé en tout ou partie personnes handicapées;Etablissements et Services pour Adultes Handicapés;Médico-social;ARS;;;
449;Etab.Accueil Non Médicalisé pour personnes handicapées;Etablissements et Services pour Adultes Handicapés;Médico-social;CD;;;
450;Service d'Aide aux Personnes Agées;Etablissements et Services pour Personnes Agées;Social;CD;;;
451;Service d'Aide aux Familles en Difficulté;Etablissements et Services Sociaux d'Aide à la Famille;;CD;;;
452;Régie de Quartier;Etablissements et Services Sociaux d'Aide à la Famille;;Hors périmètre;;;Reste à renseigner
453;Service de Réparation Pénale;Etab.et Serv.Sociaux Concourant à la Protection de l'Enfance;Social;PJJ;;;Reste à renseigner
